model,split,total,baseline_em,baseline_f1,rag_em,rag_f1,wea_rag_em,wea_rag_f1,delta_em,delta_f1,avg_latency_sec,web_used_rate,web_query_rate,cache_hit_rate,rescue_count,harm_count,net_gain_count,rescue_rate_over_rag_wrong,harm_rate_over_rag_correct,wea_activation_count,wea_activation_rate,wea_final_correct_rate,wea_rescue_rate,wea_harm_rate
Qwen3-4B-Instruct-2507,distractor,7405,47.85955435516543,64.34859984479729,53.43686698176907,69.17852108632812,54.00405131667792,69.68843561528539,0.5671843349088519,0.5099145289572675,0.3546735757155058,17.407157326130992,17.555705604321403,100.0,42,0,42,1.2180974477958237,0.0,1300,17.555705604321403,50.07692307692308,2.923076923076923,0.0
Qwen3-4B-Instruct-2507,fullwiki,7405,27.60297096556381,38.91481224235136,44.18636056718434,58.4413984750915,45.32072923700203,59.99869279242043,1.1343686698176896,1.5572943173289246,0.3808913222202814,25.25320729237002,25.563808237677247,100.0,406,322,84,9.823372852649408,9.841075794621027,1893,25.563808237677247,43.370311674590596,7.025884838880084,3.909138932910724
Llama-3.2-3B-Instruct,distractor,7405,45.11816340310601,58.21404083802785,47.38690074274139,60.70088414329632,47.62997974341661,60.87626890682285,0.24307900067522326,0.1753847635265302,0.2131892407125593,17.393652937204592,17.542201215395004,100.0,44,26,18,1.1293634496919918,0.7409518381305216,1299,17.542201215395004,45.49653579676674,0.6928406466512702,0.5388760585065435
Llama-3.2-3B-Instruct,fullwiki,7405,28.656313301823094,37.65983478790296,38.7711006076975,50.7941187576649,39.08170155300473,51.18547449004082,0.3106009453072289,0.3913557323759207,0.22547276984349365,25.26671168129642,25.577312626603646,100.0,397,374,23,8.756065284516982,13.026819923371647,1894,25.577312626603646,37.434002111932415,5.860612460401267,4.7518479408658925
MiniCPM3-4B,distractor,7405,40.48615800135044,54.84505344945871,47.35989196488859,61.15048357882715,47.54895340985821,61.381244905189526,0.1890614449696173,0.23076132636237645,1.8851706869935443,17.38014854827819,17.528696826468604,100.0,15,1,14,0.38481272447408926,0.028514399771884802,1298,17.528696826468604,45.91679506933744,1.1556240369799693,0.07704160246533127
MiniCPM3-4B,fullwiki,7405,28.08912896691425,39.22540843838955,39.85145172180959,52.47650983761237,40.60769750168805,53.232810491676275,0.7562457798784621,0.7563006540639066,1.991184521139996,25.239702903443618,25.550303848750843,100.0,330,274,56,7.409070498428379,9.28498813961369,1892,25.550303848750843,40.3276955602537,5.6553911205073994,3.54122621564482
